ToGo,1,2,3,4
1,0.239598278336,0.311342982161,0.287356321839,0.272619047619
2,0.403693931398,0.383859948762,0.681783824641,0.804166666667
3,0.395,0.425594149909,0.824251726784,0.9
4,0.424870466321,0.48967642527,0.866493120119,0.938356164384
5,0.431202600217,0.515225933202,0.884462151394,0.923566878981
6,0.397530864198,0.542485153038,0.892857142857,0.949152542373
7,0.457583547558,0.612081984898,0.892095357591,0.904109589041
8,0.389705882353,0.643637953651,0.897179253867,0.854166666667
9,0.390243902439,0.672875733606,0.893062076161,0.959183673469
10,0.491836065061,0.611079289747,0.910961214165,0.924657534247
11,0.35,0.7066741447,0.879387938794,0.911764705882
12,0.448275862069,0.730158730159,0.877880184332,0.95652173913
13,0.564102564103,0.754738015608,0.854493580599,0.923076923077
14,0.655172413793,0.766214177979,0.873188405797,0.904761904762
15,0.633789954338,0.761506276151,0.882067851373,1.0
